"2010","ME","Planejamento de experimentos com várias replicações em paralelo em grades computacionais","Lourenço Alves Pereira Junior","Sarita Mazzini Bruschi","6/7/2010",9207573181802953
"2010","DO","Uma contribuição para a melhoria colaborativa e distribuída de processos de software","Viviane Dias Malheiros de Pinho","José Carlos Maldonado","6/1/2010",7939197170515112
"2010","DO","Métodos para o pré-processamento e mineração de grandes volumes de dados multidimensionais e redes complexas","Ana Paula Appel","Caetano Traina Junior","5/27/2010",6279577249131944
"2010","ME","Mapeamento de ambientes externos utilizando robôs móveis","Alberto Yukinobu Hata","Denis Fernando Wolf","5/24/2010",7837215512449857
"2010","DO","Um método para a fusão automática de sentenças similares em português","Eloize Rossi Marques Seno","Maria das Graças Volpe Nunes","5/24/2010",5393844411346096
"2010","DO","WSARCH: Uma arquitetura para a provisão de web services com qualidade de serviço","Júlio Cezar Estrella","Regina Helena Carlucci Santana","5/18/2010",5433967267727516
"2010","ME","ChipCFlow - Partição e protocolo de comunicação no grafo a fluxo de dados dinâmico","Lucas Barbosa Sanches","Jorge Luiz e Silva","5/14/2010",0691646398536552
"2010","DO","Estudos de métodos de análise de complexidade em imagens","André Ricardo Backes","Odemir Martinez Bruno","5/7/2010",8590140337571249
"2010","ME","Uma contribuição à modelagem e geração automática de conteúdos educacionais","Vanessa Araujo Borges","Ellen Francine Barbosa","5/5/2010",8589321395226317
"2010","ME","Classificação semi-supervisionada baseada em desacordo por similaridade","Victor Antonio Laguna Gutiérrez","Alneu de Andrade Lopes","5/3/2010",2354542510865622
"2010","ME","Substituição de valores ausentes: uma abordagem baseada em um algoritmo evolutivo para agrupamento de dados","Jonathan de Andrade Silva","Eduardo Raul Hruschka","4/29/2010",3741401045785098
"2010","ME","Simulação numérica de escoamentos bidimensionais com superfícies livres e linhas de contato dinâmicas","Alysson Alexander Naves Silva","Fabrício Simeoni de Sousa","4/26/2010",1803403925305247
"2010","ME","Aprendizado semissupervisionado multidescrição em classificação de textos","Ígor Assis Braga","Maria Carolina Monard","4/23/2010",0105852059250707
"2010","ME","Definição e gerenciamento de métricas de teste no contexto de métodos ágeis","André Abe Vicente","Márcio Eduardo Delamaro","4/22/2010",9507946178278807
"2010","ME","Propriedades de invariância na observabilidade e controlabilidade de sistemas lineares a tempo contínuo com saltos markovianos","Alfredo Rafael Roa Narvaez","Eduardo Fontoura Costa","4/8/2010",6035818733535106
"2010","ME","Sumarização automática multidocumento: seleção de conteúdo com base no Modelo CST (Cross-document Structure Theory)","Maria Lucía Del Rosario Castro Jorge","Thiago Alexandre Salgueiro Pardo","4/8/2010",0
"2010","ME","Aumento da eficiência do cálculo da energia de van der Waals em algoritmos genéticos para predição de estruturas de proteínas","Daniel Rodrigo Ferraz Bonetti","Alexandre Cláudio Botazzo Delbem","3/31/2010",3800503494872809
"2010","ME","Estabilidade do filtro de Kalman para sistemas lineares com saltos markovianos","Maria Josiane Ferreira Gomes","Eduardo Fontoura Costa","3/30/2010",3995801968580333
"2010","ME","Solução Numérica de escoamentos viscoelásticos tridimensionais com superfícies livres: Fluidos de Segunda Ordem","Igor Feliciano Simplicio Revoredo","Murilo Francisco Tomé","3/26/2010",6340041127529132
"2010","ME","Métodos de fronteira imersa em mecânica dos fluidos","Larissa Alves Petri","Gustavo Carlos Buscaglia","3/24/2010",7185444574988477
