Adalberto Panobianco Bergamasco, Professor Associado, SMA
Sarita Mazzini Bruschi, Professor Doutor, SSC
Sérgio Henrique Monari Soares, Professor Associado, SMA
Sérgio Luís Zani, Professor Associado, SMA
Simone do Rocio Senger de Souza, Professor Doutor, SSC
Solange Oliveira Rezende, Professor Associado, SCC
Sueli Mieko Tanaka Aki, Professor Doutor, SMA
Thiago Alexandre Salgueiro Pardo, Professor Doutor, SCC
Valdemir Garcia Ferreira, Professor Associado, SME
Valdir Antonio Menegatto, Professor Titular, SMA
Vanderlei Bonato, Professor Doutor, SSC
Vicente Garibay Cancho, Professor Doutor, SME
Victor Hugo Jorge Pérez, Professor Associado, SMA
Wagner Vieira Leite Nunes, Professor Doutor, SMA
Washington Luiz Marar, Professor Associado, SME
Zhao Liang, Professor Associado, SCC
