"ID","ShortName","NAME","IDGRUPO","POS","RANK","CLASS"
5408,"IKE","International Conference on Information and Knowledge Engineering ",2,936,0.35185,"C"
5689,"AIL","International Conference on Artificial Intelligence and Law",10,937,0.35088,"C"
5830,"WCSMO","World Congress on Structural and Multidisciplinary Optimization",14,938,0.35088,"C"
5602,"EMMSAD","Exploring Modelling Methods in Systems Analysis and Design ",21,939,0.34783,"C"
5561,"CASE","Workshop on Computer-Aided Software Engineering",7,940,0.34722,"C"
5394,"NGDB","International Symposium on Next Generation Database Systems and Applications",2,941,0.34524,"C"
5837,"NetGames","Workshop on Network and System Support for Games",15,942,0.34483,"C"
5574,"SELMAS","International Workshop on Software Engineering for Large-Scale Multi-Agent Systems",7,943,0.34343,"C"
5534,"EA","Workshop on Early Aspects",7,944,0.34343,"C"
6127,"WITS","Workshop on Information Technologies and Systems ",13,945,0.33333,"C"
5372,"CIDR","Biennial Conference on Innovative Data Systems Research",2,946,0.33333,"C"
5955,"NyirCrypt","Central European Conference on Cryptography ",25,947,0.33333,"C"
6155,"DCW","Workshop on Distributed Communities on the Web",18,948,0.33333,"C"
5949,"IAW","Annual IEEE Information Assurance Workshop ",25,949,0.33333,"C"
5917,"VSSN","ACM International Workshop on Video Surveillance and Sensor Networks",28,950,0.33333,"C"
5796,"FTJP","Workshop on Formal Techniques for Java Programs",12,951,0.33333,"C"
6460,"ACL-SIGSEM ","ACL SIGSEM Workshop on Prepositions",30,952,0.33333,"C"
6341,"CLIP","Workshop on Cross-Language Information Processing",30,953,0.33333,"C"
6234,"ArtAbilitation","The ArtAbilitation Conference",19,954,0.33333,"C"
6433,"MPAC","International Workshop on Middleware for Pervasive and Ad-hoc Computing",28,955,0.33333,"C"
6250,"SCAN","GAMM / IMACS International Symposion on Scientific Computing, Computer Arithmetic and Validated Numerics",1,956,0.33333,"C"
5378,"DCC","Data Compression Conference",2,957,0.33333,"C"
6425,"IWPSE","International Workshop on Principles of Software Evolution",7,958,0.33333,"C"
5633,"SRIG-ET","Software Education Conference",9,959,0.33333,"C"
5873,"PDIS","International Conference on Parallel and Distributed Information Systems",15,960,0.33333,"C"
5359,"FUSION","International Conference on Information Fusion ",1,961,0.33333,"C"
5950,"ICGeS","International Conference on Global E-Security",25,962,0.33333,"C"
6397,"CLEF","Cross Language Evaluation Forum Workshop",30,963,0.33333,"C"
5505,"CIRSYS","International Symposium on Circuits and Systems",6,964,0.33333,"C"
6184,"WECWIS","Workshop on Advanced Issues of E-Commerce and Web Based Information Systems",18,965,0.33333,"C"
5683,"ANIREM","Workshop on Agents, Norms and Institutions for Regulated Multiagent Systems",10,966,0.32258,"C"
5371,"ASIS&T","Annual Conference of the American Society for Information Science and Technology",2,967,0.32258,"C"
5682,"AOIS","Agent-Oriented Information Systems Workshop",10,968,0.32258,"C"
6313,"ISMIR","International Conference on Music Information Retrieval",2,969,0.32143,"C"
6181,"WCW","Web Caching Workshop",18,970,0.31884,"C"
5568,"SAVCBS","Workshop on Specification and Verification of Component-Based Systems",7,971,0.31884,"C"
