"0365-0138","ASTRONOMIA / FÍSICA                               ","Astronomy & Astrophysics. Supplement Series (Print) (Cessou em 2000. Foi absorvido pelo ISSN 0004-6361 Astronomy & Astrophysics (Berlin. Print)","C ",2008
"1063-7737","ASTRONOMIA / FÍSICA                               ","Astronomy Letters (Print)","B3",2008
"1063-7729","ASTRONOMIA / FÍSICA                               ","Astronomy Reports (Print)","B4",2008
"0927-6505","ASTRONOMIA / FÍSICA                               ","Astroparticle Physics (Print)","A2",2008
"0888-6512","ASTRONOMIA / FÍSICA                               ","Astrophysical Letters & Communications","C ",2008
"0004-640X","ASTRONOMIA / FÍSICA                               ","Astrophysics and Space Science","B4",2008
"1680-7324","ASTRONOMIA / FÍSICA                               ","Atmospheric Chemistry and Physics (Online)","A2",2008
"1680-7316","ASTRONOMIA / FÍSICA                               ","Atmospheric Chemistry and Physics (Print)","A2",2008
"1680-7367","ASTRONOMIA / FÍSICA                               ","Atmospheric Chemistry and Physics Discussion (Print)","C ",2008
"1352-2310","ASTRONOMIA / FÍSICA                               ","Atmospheric Environment (1994)","B1",2008
"0092-640X","ASTRONOMIA / FÍSICA                               ","Atomic Data and Nuclear Data Tables (Print)","B1",2008
"1806-8340","ASTRONOMIA / FÍSICA                               ","Avisa Lá (Centro de Estudos e Informações Crecheplan)","C ",2008
"0006-291X","ASTRONOMIA / FÍSICA                               ","Biochemical and Biophysical Research Communications (Print)","B1",2008
"0005-2736","ASTRONOMIA / FÍSICA                               ","Biochimica et Biophysica Acta. Biomembranes","A2",2008
"1570-9639","ASTRONOMIA / FÍSICA                               ","Biochimica et Biophysica Acta. Proteins and Proteomics","B1",2008
"0300-9084","ASTRONOMIA / FÍSICA                               ","Biochimie (Paris. Print)","B1",2008
"1367-4803","ASTRONOMIA / FÍSICA                               ","Bioinformatics (Oxford. Print)","A2",2008
"0966-0844","ASTRONOMIA / FÍSICA                               ","BioMetals (Oxford)","B1",2008
"0968-0896","ASTRONOMIA / FÍSICA                               ","Bioorganic & Medicinal Chemistry (Print)","B1",2008
"0301-4622","ASTRONOMIA / FÍSICA                               ","Biophysical Chemistry (Print)","B1",2008
"0006-3495","ASTRONOMIA / FÍSICA                               ","Biophysical Journal (Print)","A2",2008
"0006-3525","ASTRONOMIA / FÍSICA                               ","Biopolymers (New York. Print)","B1",2008
"0956-5663","ASTRONOMIA / FÍSICA                               ","Biosensors & Bioelectronics","A2",2008
"0006-4971","ASTRONOMIA / FÍSICA                               ","Blood (Philadelphia, PA)","A1",2008
"1471-2229","ASTRONOMIA / FÍSICA                               ","BMC Plant Biology (Online)","A2",2008
"1472-6807","ASTRONOMIA / FÍSICA                               ","BMC Structural Biology (Online)","C ",2008
"1752-0509","ASTRONOMIA / FÍSICA                               ","BMC Systems Biology","C ",2008
"0101-3440","ASTRONOMIA / FÍSICA                               ","Boletim - Sociedade Astrônomica Brasileira","C ",2008
"1518-9082","ASTRONOMIA / FÍSICA                               ","Boletim Técnico da Faculdade de Tecnologia de São Paulo","C ",2008
"0366-3175","ASTRONOMIA / FÍSICA                               ","Boletín de la Sociedad Española de Cerámica y Vidrio","B5",2008
"0006-8314","ASTRONOMIA / FÍSICA                               ","Boundary - Layer Meteorology","B1",2008
"0006-8993","ASTRONOMIA / FÍSICA                               ","Brain Research","B1",2008
"1516-8913","ASTRONOMIA / FÍSICA                               ","Brazilian Archives of Biology and Technology (Impresso)","B5",2008
"0104-6632","ASTRONOMIA / FÍSICA                               ","Brazilian Journal of Chemical Engineering (Impresso)","B5",2008
"1517-8382","ASTRONOMIA / FÍSICA                               ","Brazilian Journal of Microbiology (Impresso)","B5",2008
"0103-9733","ASTRONOMIA / FÍSICA                               ","Brazilian Journal of Physics (Impresso)","B5",2008
"1806-8324","ASTRONOMIA / FÍSICA                               ","Brazilian Oral Research (Impresso)","C ",2008
"1310-0157","ASTRONOMIA / FÍSICA                               ","Bulgarian Journal of Physics","C ",2008
"0002-7537","ASTRONOMIA / FÍSICA                               ","Bulletin - American Astronomical Society","C ",2008
"0003-0503","ASTRONOMIA / FÍSICA                               ","Bulletin of the American Physical Society (Cessou em 2006. Cont. Bulletin of the American Physical Society (Online))","C ",2008
"0239-7528","ASTRONOMIA / FÍSICA                               ","Bulletin of the Polish Academy of Sciences. Technical Sciences","C ",2008
"1677-2334","ASTRONOMIA / FÍSICA                               ","Caderno Brasileiro de Ensino de Física","C ",2008
"0102-3594","ASTRONOMIA / FÍSICA                               ","Caderno Catarinense de Ensino de Física (Cessou em 2001. Cont. ISSN 1677-2334 Caderno Brasileiro de Ensino de Física)","C ",2008
"0008-4204","ASTRONOMIA / FÍSICA                               ","Canadian Journal of Physics (Print)","B4",2008
"0008-5472","ASTRONOMIA / FÍSICA                               ","Cancer Research (Chicago, Ill.)","A1",2008
"0008-6223","ASTRONOMIA / FÍSICA                               ","Carbon (New York)","A2",2008
"0920-5861","ASTRONOMIA / FÍSICA                               ","Catalysis Today (Print)","B1",2008
"0341-8162","ASTRONOMIA / FÍSICA                               ","Catena (Cremlingen)","B2",2008
"0923-2958","ASTRONOMIA / FÍSICA                               ","Celestial Mechanics & Dynamical Astronomy","B4",2008
"1644-3608","ASTRONOMIA / FÍSICA                               ","Central European Journal of Physics","C ",2008
"0366-6913","ASTRONOMIA / FÍSICA                               ","Cerâmica (São Paulo. Impresso)","C ",2008
"1054-1500","ASTRONOMIA / FÍSICA                               ","Chaos (Woodbury, N.Y.)","B1",2008
"0960-0779","ASTRONOMIA / FÍSICA                               ","Chaos, Solitons and Fractals","B1",2008
"1364-548X","ASTRONOMIA / FÍSICA                               ","Chemical Communications (London. 1996. Online)","C ",2008
"1385-8947","ASTRONOMIA / FÍSICA                               ","Chemical Engineering Journal (1996)","B1",2008
"0009-2541","ASTRONOMIA / FÍSICA                               ","Chemical Geology","A2",2008
"0301-0104","ASTRONOMIA / FÍSICA                               ","Chemical Physics (Print)","B2",2008
"0009-2614","ASTRONOMIA / FÍSICA                               ","Chemical Physics Letters (Print)","B1",2008
"1612-1872","ASTRONOMIA / FÍSICA                               ","Chemistry & Biodiversity (Print)","B2",2008
"0897-4756","ASTRONOMIA / FÍSICA                               ","Chemistry of Materials","A2",2008
"1864-5631","ASTRONOMIA / FÍSICA                               ","ChemSusChem (Weinheim. Print)","C ",2008
"1009-9271","ASTRONOMIA / FÍSICA                               ","Chinese Journal of Astronomy and Astrophysics","B4",2008
"1674-1056","ASTRONOMIA / FÍSICA                               ","Chinese Physics B","C ",2008
"0256-307X","ASTRONOMIA / FÍSICA                               ","Chinese Physics Letters","B3",2008
"0009-6725","ASTRONOMIA / FÍSICA                               ","Ciência e Cultura","C ",2008
"1516-7313","ASTRONOMIA / FÍSICA                               ","Ciência e Educação (UNESP. Impresso)","C ",2008
"0101-8515","ASTRONOMIA / FÍSICA                               ","Ciência Hoje","C ",2008
"0264-9381","ASTRONOMIA / FÍSICA                               ","Classical and Quantum Gravity (Print)","B1",2008
"0009-8558","ASTRONOMIA / FÍSICA                               ","Clay Minerals (Print)","B5",2008
"0165-0009","ASTRONOMIA / FÍSICA                               ","Climatic Change","B1",2008
"0303-402X","ASTRONOMIA / FÍSICA                               ","Colloid and Polymer Science (Print)","B2",2008
"0927-7765","ASTRONOMIA / FÍSICA                               ","Colloids and Surfaces. B, Biointerfaces (Print)","B1",2008
