"0003-6935","GEOCIÊNCIAS                                       ","Applied Optics (Cessou em 1989. Foi desdobrado em três: ISSN 1540-8973 Applied Optics. Information Processing, Applied Optics. Optical Technology e Applied Optics. Lasers and Photonics)","A2",2008
"0969-8043","GEOCIÊNCIAS                                       ","Applied Radiation and Isotopes","B1",2008
"0169-4332","GEOCIÊNCIAS                                       ","Applied Surface Science","B1",2008
"0044-8486","GEOCIÊNCIAS                                       ","Aquaculture (Amsterdam)","B1",2008
"1463-4988","GEOCIÊNCIAS                                       ","Aquatic Ecosystem Health & Management","B3",2008
"1380-6165","GEOCIÊNCIAS                                       ","Aquatic Geochemistry","B1",2008
"0103-5657","GEOCIÊNCIAS                                       ","Ararajuba (Rio de Janeiro)","B5",2008
"0003-9810","GEOCIÊNCIAS                                       ","Archives Internationales d'Histoire des Sciences","B3",2008
"0090-4341","GEOCIÊNCIAS                                       ","Archives of Environmental Contamination and Toxicology (Print)","A2",2008
"0374-5686","GEOCIÊNCIAS                                       ","Arquivos de Ciências do Mar","B5",2008
"1808-1657","GEOCIÊNCIAS                                       ","Arquivos do Instituto Biológico (Online)","B5",2008
"0365-4508","GEOCIÊNCIAS                                       ","Arquivos do Museu Nacional","B5",2008
"1513-6728","GEOCIÊNCIAS                                       ","Asian Journal of Geoinformatics","B3",2008
"0004-6361","GEOCIÊNCIAS                                       ","Astronomy & Astrophysics (Berlin. Print)","A1",2008
"0004-640X","GEOCIÊNCIAS                                       ","Astrophysics and Space Science","B1",2008
"1810-6528","GEOCIÊNCIAS                                       ","Astrophysics and Space Sciences Transactions (Print)","B3",2008
"0102-1656","GEOCIÊNCIAS                                       ","Atlântica","B4",2008
"0187-6236","GEOCIÊNCIAS                                       ","Atmósfera (México)","B2",2008
"1680-7324","GEOCIÊNCIAS                                       ","Atmospheric Chemistry and Physics (Online)","A1",2008
"1680-7316","GEOCIÊNCIAS                                       ","Atmospheric Chemistry and Physics (Print)","A1",2008
"1680-7375","GEOCIÊNCIAS                                       ","Atmospheric Chemistry and Physics Discussion (Online)","B3",2008
"1352-2310","GEOCIÊNCIAS                                       ","Atmospheric Environment (1994)","A1",2008
"0169-8095","GEOCIÊNCIAS                                       ","Atmospheric Research (Print)","B1",2008
"1530-261X","GEOCIÊNCIAS                                       ","Atmospheric Science Letters","B3",2008
"0077-5630","GEOCIÊNCIAS                                       ","Atoll Research Bulletin","B3",2008
"1120-6349","GEOCIÊNCIAS                                       ","Atti della Accademia Nazionale dei Lincei. Rendiconti Lincei. Scienze Fisiche e Naturali (Testo Stampato)","B3",2008
"0004-7856","GEOCIÊNCIAS                                       ","Aufschluss (Heidelberg)","B4",2008
"0519-4334","GEOCIÊNCIAS                                       ","Aufschluss, Sonderheft","B4",2008
"1442-9985","GEOCIÊNCIAS                                       ","Austral Ecology (Print)","A2",2008
"0004-9174","GEOCIÊNCIAS                                       ","Australian Gemmologist","B4",2008
"0004-9743","GEOCIÊNCIAS                                       ","Australian Meteorological Magazine","B1",2008
"1515-1565","GEOCIÊNCIAS                                       ","Avances en Análisis por Técnicas de Rayos X","B5",2008
"0329-5184","GEOCIÊNCIAS                                       ","Avances en Energías Renovables y Medio Ambiente","B5",2008
"0950-091X","GEOCIÊNCIAS                                       ","Basin Research (Print)","A2",2008
"0960-3115","GEOCIÊNCIAS                                       ","Biodiversity and Conservation","B1",2008
"0168-2563","GEOCIÊNCIAS                                       ","Biogeochemistry (Dordrecht)","A1",2008
"1726-4170","GEOCIÊNCIAS                                       ","Biogeosciences (Katlenburg-Lindau. Print)","A1",2008
"1810-6285","GEOCIÊNCIAS                                       ","Biogeosciences Discussion (Online)","B3",2008
"0953-5365","GEOCIÊNCIAS                                       ","Biological Sciences Review","C ",2008
"1516-3725","GEOCIÊNCIAS                                       ","Bioscience Journal (UFU. Impresso)","B5",2008
"1676-0603","GEOCIÊNCIAS                                       ","Biota Neopropica (Edição em Português. Online)","B2",2008
"1678-6424","GEOCIÊNCIAS                                       ","Biota Neotropica (Edição em português. Impresso)","B2",2008
"0006-3606","GEOCIÊNCIAS                                       ","Biotropica (Lawrence, KS)","A2",2008
"1676-014X","GEOCIÊNCIAS                                       ","Boletim da Sociedade Brasileira de Meteorologia","B5",2008
"1413-4853","GEOCIÊNCIAS                                       ","Boletim de Ciências Geodésicas (Impresso)","B2",2008
"0102-9304","GEOCIÊNCIAS                                       ","Boletim de Geociências da PETROBRAS (Impresso)","B4",2008
"1806-2881","GEOCIÊNCIAS                                       ","Boletim de Geociências da Petrobras (Online)","B4",2008
"0080-3200","GEOCIÊNCIAS                                       ","Boletim do Museu Nacional. Geologia (Cessou em 1983)","C ",2008
"0103-4278","GEOCIÊNCIAS                                       ","Boletim do Museu Paraense Emílio Goeldi. Série Ciências da Terra","B4",2008
"0101-708X","GEOCIÊNCIAS                                       ","Boletim Goiano de Geografia (Impresso)","B5",2008
"0102-6283","GEOCIÊNCIAS                                       ","Boletim IG-USP. Série Científica (Cessou em 1998. Cont. ISSN 1519-874X Geologia USP. Série Científica)","B2",2008
"0067-964X","GEOCIÊNCIAS                                       ","Boletim Paranaense de Geociências","B4",2008
"1518-9082","GEOCIÊNCIAS                                       ","Boletim Técnico da Faculdade de Tecnologia de São Paulo","B5",2008
"0716-0763","GEOCIÊNCIAS                                       ","Boletín Antártico Chileno","B4",2008
"0120-0283","GEOCIÊNCIAS                                       ","Boletin de Geologia","B4",2008
"0366-0176","GEOCIÊNCIAS                                       ","Boletín Geológico y Minero","B3",2008
"0006-8314","GEOCIÊNCIAS                                       ","Boundary - Layer Meteorology","A1",2008
"0006-8705","GEOCIÊNCIAS                                       ","Bragantia (São Paulo, SP. Impresso)","B2",2008
"1516-8913","GEOCIÊNCIAS                                       ","Brazilian Archives of Biology and Technology (Impresso)","B2",2008
"1808-7035","GEOCIÊNCIAS                                       ","Brazilian Journal of Aquatic Science and Technology (Impresso)","B4",2008
"1519-6984","GEOCIÊNCIAS                                       ","Brazilian Journal of Biology (Impresso)","B2",2008
"0104-6632","GEOCIÊNCIAS                                       ","Brazilian Journal of Chemical Engineering (Impresso)","B2",2008
"1516-5868","GEOCIÊNCIAS                                       ","Brazilian Journal of Ecology (Impresso)","B5",2008
"1519-1192","GEOCIÊNCIAS                                       ","Brazilian Journal of Investigative Pathology, Morphology and Morphometry","B2",2008
"1517-8382","GEOCIÊNCIAS                                       ","Brazilian Journal of Microbiology (Impresso)","B2",2008
"1679-8759","GEOCIÊNCIAS                                       ","Brazilian Journal of Oceanography (Impresso)","B2",2008
"1982-0593","GEOCIÊNCIAS                                       ","Brazilian Journal of Petroleum and Gas","B4",2008
"0103-9733","GEOCIÊNCIAS                                       ","Brazilian Journal of Physics (Impresso)","B2",2008
"1677-0420","GEOCIÊNCIAS                                       ","Brazilian Journal of Plant Physiology (Impresso)","B2",2008
"0160-7782","GEOCIÊNCIAS                                       ","Bulletin - Geothermal Resources Council","B4",2008
"1524-4156","GEOCIÊNCIAS                                       ","Bulletin - New Mexico Museum of Natural History and Science","B5",2008
"0037-9409","GEOCIÊNCIAS                                       ","Bulletin de la Société Géologique de France","B1",2008
"1435-9537","GEOCIÊNCIAS                                       ","Bulletin of Engineering Geology and the Environment (Internet)","B3",2008
"0007-4861","GEOCIÊNCIAS                                       ","Bulletin of Environmental Contamination and Toxicology","B3",2008
"1214-1119","GEOCIÊNCIAS                                       ","Bulletin of Geosciences (Print)","B3",2008
"0003-0007","GEOCIÊNCIAS                                       ","Bulletin of the American Meteorological Society","A1",2008
"0012-9623","GEOCIÊNCIAS                                       ","Bulletin of the Ecological Society of America (Cessou em 2002. Cont. Bulletin of the Ecological Society of America (Online))","B3",2008
"0258-8900","GEOCIÊNCIAS                                       ","Bulletin of Volcanology (Print)","A2",2008
"0102-3543","GEOCIÊNCIAS                                       ","C&T. Revista Militar de Ciência e Tecnologia","B5",2008
"1980-0223","GEOCIÊNCIAS                                       ","Cadernos de Ecologia Aquática","B5",2008
"0104-2327","GEOCIÊNCIAS                                       ","Cadernos de Geociencias (UFBA)","B5",2008
"0102-311X","GEOCIÊNCIAS                                       ","Cadernos de Saúde Pública (ENSP. Impresso)","B2",2008
"1679-3951","GEOCIÊNCIAS                                       ","Cadernos EBAPE.BR (FGV)","B5",2008
"1414-462X","GEOCIÊNCIAS                                       ","Cadernos Saúde Coletiva (UFRJ)","B5",2008
"1678-6343","GEOCIÊNCIAS                                       ","Caminhos de Geografia (UFU)","B5",2008
"0008-4077","GEOCIÊNCIAS                                       ","Canadian Journal of Earth Sciences (Print)","B1",2008
"0703-8992","GEOCIÊNCIAS                                       ","Canadian Journal of Remote Sensing (Cessou em 2004. Cont. ISSN 1712-798X Canadian Journal of Remote Sensing (CD-ROM))","B1",2008
"0008-4476","GEOCIÊNCIAS                                       ","Canadian Mineralogist","B1",2008
"0891-2556","GEOCIÊNCIAS                                       ","Carbonates and Evaporites","B3",2008
"1523-0406","GEOCIÊNCIAS                                       ","Cartography and Geographic Information Science (Print)","B3",2008
"0341-8162","GEOCIÊNCIAS                                       ","Catena (Cremlingen)","A2",2008
"1065-6995","GEOCIÊNCIAS                                       ","Cell Biology International (Print)","B1",2008
"0008-8846","GEOCIÊNCIAS                                       ","Cement and Concrete Research","B1",2008
"0366-6913","GEOCIÊNCIAS                                       ","Cerâmica (São Paulo. Impresso)","B2",2008
"1413-4608","GEOCIÊNCIAS                                       ","Cerâmica Industrial (Impresso)","B5",2008
"1678-7722","GEOCIÊNCIAS                                       ","Cerâmica Informação","B5",2008
"1054-1500","GEOCIÊNCIAS                                       ","Chaos (Woodbury, N.Y.)","A2",2008
"0960-0779","GEOCIÊNCIAS                                       ","Chaos, Solitons and Fractals","A1",2008
"1071-8443","GEOCIÊNCIAS                                       ","Chelonian Conservation and Biology","B1",2008
"0009-2541","GEOCIÊNCIAS                                       ","Chemical Geology","A1",2008
"0009-2797","GEOCIÊNCIAS                                       ","Chemico-Biological Interactions (Print)","A1",2008
"0009-2819","GEOCIÊNCIAS                                       ","Chemie der Erde","B1",2008
"0045-6535","GEOCIÊNCIAS                                       ","Chemosphere (Oxford)","A1",2008
"1001-6538","GEOCIÊNCIAS                                       ","Chinese Science Bulletin","B3",2008
"1676-4188","GEOCIÊNCIAS                                       ","Ciência & Ambiente","B5",2008
"0103-944X","GEOCIÊNCIAS                                       ","Ciência & Engenharia (UFU. Impresso)","B5",2008
"1413-7054","GEOCIÊNCIAS                                       ","Ciência e Agrotecnologia (UFLA)","B5",2008
"0009-6725","GEOCIÊNCIAS                                       ","Ciência e Cultura","B2",2008
"0103-5703","GEOCIÊNCIAS                                       ","Ciencia e Filosofia (USP)","B5",2008
"0100-8307","GEOCIÊNCIAS                                       ","Ciência e Natura","B4",2008
"0103-9954","GEOCIÊNCIAS                                       ","Ciência Florestal (UFSM. Impresso)","B5",2008
"0101-8515","GEOCIÊNCIAS                                       ","Ciência Hoje","B5",2008
"0103-8478","GEOCIÊNCIAS                                       ","Ciência Rural (UFSM. Impresso)","B2",2008
"0100-1515","GEOCIÊNCIAS                                       ","Ciência, Técnica, Petróleo. Seção Exploração de Petróleo","B5",2008
"0185-3880","GEOCIÊNCIAS                                       ","Ciencias Marinas","B1",2008
"0100-0039","GEOCIÊNCIAS                                       ","Científica (UNESP) (Cessou em 2006)","B4",2008
"0009-8558","GEOCIÊNCIAS                                       ","Clay Minerals (Print)","B3",2008
"0009-8604","GEOCIÊNCIAS                                       ","Clays and Clay Minerals","B1",2008
"0930-7575","GEOCIÊNCIAS                                       ","Climate Dynamics","A1",2008
"1814-9324","GEOCIÊNCIAS                                       ","Climate of the Past (Print)","A2",2008
"0936-577X","GEOCIÊNCIAS                                       ","Climate Research","A2",2008
"0165-0009","GEOCIÊNCIAS                                       ","Climatic Change","A1",2008
"0378-3839","GEOCIÊNCIAS                                       ","Coastal Engineering","A2",2008
"1809-6875","GEOCIÊNCIAS                                       ","Coffee Science","B5",2008
"0927-7757","GEOCIÊNCIAS                                       ","Colloids and Surfaces. A, Physicochemical and Engineering Aspects (Print)","A2",2008
"1519-7654","GEOCIÊNCIAS                                       ","ComCiência (UNICAMP)","B5",2008
"0010-3624","GEOCIÊNCIAS                                       ","Communications in Soil Science and Plant Analysis","B3",2008
"1631-0713","GEOCIÊNCIAS                                       ","Comptes Rendus. Géoscience","B1",2008
"1631-0683","GEOCIÊNCIAS                                       ","Comptes Rendus. Palévol","B3",2008
"1420-0597","GEOCIÊNCIAS                                       ","Computational Geosciences (Amsterdam)","B1",2008
"0098-3004","GEOCIÊNCIAS                                       ","Computers & Geosciences","B1",2008
"0198-9715","GEOCIÊNCIAS                                       ","Computers, Environment and Urban Systems","B1",2008
"0797-8529","GEOCIÊNCIAS                                       ","Comunicaciones (Montevideo)","B5",2008
"1532-0626","GEOCIÊNCIAS                                       ","Concurrency and Computation","A2",2008
"0278-4343","GEOCIÊNCIAS                                       ","Continental Shelf Research","A2",2008
"0010-7999","GEOCIÊNCIAS                                       ","Contributions to Mineralogy and Petrology","A1",2008
"0103-1759","GEOCIÊNCIAS                                       ","Controle & Automação (Impresso)","B4",2008
"0045-8511","GEOCIÊNCIAS                                       ","Copeia","B1",2008
"0722-4028","GEOCIÊNCIAS                                       ","Coral Reefs (Print)","A1",2008
"0195-6671","GEOCIÊNCIAS                                       ","Cretaceous Research (Print)","B1",2008
"0011-1643","GEOCIÊNCIAS                                       ","Croatica Chemica Acta","B1",2008
"1063-7745","GEOCIÊNCIAS                                       ","Crystallography Reports (Print)","B3",2008
"0011-3891","GEOCIÊNCIAS                                       ","Current Science (Bangalore)","B1",2008
"0967-0637","GEOCIÊNCIAS                                       ","Deep-Sea Research. Part 1. Oceanographic Research Papers","A2",2008
"0967-0645","GEOCIÊNCIAS                                       ","Deep-Sea Research. Part 2. Tropical Studies in Oceanography","B1",2008
"1518-952X","GEOCIÊNCIAS                                       ","Desenvolvimento e Meio Ambiente (UFPR)","B4",2008
"0013-9998","GEOCIÊNCIAS                                       ","Die Erde (Berlin)","C ",2008
"1005-2321","GEOCIÊNCIAS                                       ","Dixue Qianyuan / Earth Science Frontiers","B5",2008
"0869-5652","GEOCIÊNCIAS                                       ","Doklady Akademii Nauk. Rossijskaâ Akademiâ Nauk","C ",2008
"1028-334X","GEOCIÊNCIAS                                       ","Doklady Earth Sciences","B3",2008
"0012-7353","GEOCIÊNCIAS                                       ","DYNA (Medellín)","B2",2008
"0377-0265","GEOCIÊNCIAS                                       ","Dynamics of Atmospheres and Oceans","A2",2008
"0012-821X","GEOCIÊNCIAS                                       ","Earth and Planetary Science Letters","A1",2008
"1087-3562","GEOCIÊNCIAS                                       ","Earth Interactions","A2",2008
"1794-6190","GEOCIÊNCIAS                                       ","EARTH SCIENCES RESEARCH JOURNAL","B4",2008
"1096-9837","GEOCIÊNCIAS                                       ","Earth Surface Processes and Landforms (Online)","A2",2008
"0197-9337","GEOCIÊNCIAS                                       ","Earth Surface Processes and Landforms (Print)","A2",2008
"1343-8832","GEOCIÊNCIAS                                       ","Earth, Planets and Space","B1",2008
"0100-4670","GEOCIÊNCIAS                                       ","Eclética Química (UNESP. Araraquara. Impresso)","B5",2008
"0906-7590","GEOCIÊNCIAS                                       ","Ecography (Copenhagen)","A1",2008
"1642-3593","GEOCIÊNCIAS                                       ","Ecohydrology & Hydrobiology","B3",2008
"1051-0761","GEOCIÊNCIAS                                       ","Ecological Applications","A1",2008
"0304-3800","GEOCIÊNCIAS                                       ","Ecological Modelling","A2",2008
"1518-2932","GEOCIÊNCIAS                                       ","Economia & Energia (Online)","C ",2008
"0361-0128","GEOCIÊNCIAS                                       ","Economic Geology and the Bulletin of the Society of Economic Geologists","A1",2008
"1432-9840","GEOCIÊNCIAS                                       ","Ecosystems (New York. Print)","A1",2008
"0147-6513","GEOCIÊNCIAS                                       ","Ecotoxicology and Environmental Safety","A2",2008
"1679-5229","GEOCIÊNCIAS                                       ","Edição especial scientific American Brasil","C ",2008
"0922-3444","GEOCIÊNCIAS                                       ","Elsevier (Amsterdam)","C ",2008
"0301-4215","GEOCIÊNCIAS                                       ","Energy Policy","A2",2008
"0100-6916","GEOCIÊNCIAS                                       ","Engenharia Agrícola (Impresso)","B2",2008
"1678-2178","GEOCIÊNCIAS                                       ","Engenharia Ambiental (UNIPINHAL. Impresso)","B5",2008
"1414-3984","GEOCIÊNCIAS                                       ","Engenharia na Agricultura","B5",2008
"1413-4152","GEOCIÊNCIAS                                       ","Engenharia Sanitária e Ambiental","B2",2008
"1676-1790","GEOCIÊNCIAS                                       ","Engenharia Térmica","B4",2008
"1415-7314","GEOCIÊNCIAS                                       ","Engevista (UFF)","B5",2008
"0013-7952","GEOCIÊNCIAS                                       ","Engineering Geology","B1",2008
"1668-3889","GEOCIÊNCIAS                                       ","Enología (Godoy Cruz)","B5",2008
"0160-4120","GEOCIÊNCIAS                                       ","Environment International","A1",2008
"1387-585X","GEOCIÊNCIAS                                       ","Environment, Development and Sustainability","B3",2008
"0098-8472","GEOCIÊNCIAS                                       ","Environmental and Experimental Botany","A2",2008
"0924-5405","GEOCIÊNCIAS                                       ","Environmental Fluid Mechanics (1982)","B1",2008
"1567-7419","GEOCIÊNCIAS                                       ","Environmental Fluid Mechanics (Dordrecht. 2001)","B1",2008
"0269-4042","GEOCIÊNCIAS                                       ","Environmental Geochemistry and Health","B1",2008
"0943-0105","GEOCIÊNCIAS                                       ","Environmental Geology (Berlin)","B1",2008
"1432-0495","GEOCIÊNCIAS                                       ","Environmental Geology (Berlin. Internet)","B1",2008
"1364-8152","GEOCIÊNCIAS                                       ","Environmental Modelling & Software","A2",2008
"0167-6369","GEOCIÊNCIAS                                       ","Environmental Monitoring and Assessment (Print)","B1",2008
"0269-7491","GEOCIÊNCIAS                                       ","Environmental Pollution (1987)","A1",2008
"0013-9351","GEOCIÊNCIAS                                       ","Environmental Research (New York, N.Y. Print)","A1",2008
"1748-9326","GEOCIÊNCIAS                                       ","Environmental Research Letters","A2",2008
"1462-9011","GEOCIÊNCIAS                                       ","Environmental Science & Policy","A2",2008
"0013-936X","GEOCIÊNCIAS                                       ","Environmental Science & Technology","A1",2008
"1520-4081","GEOCIÊNCIAS                                       ","Environmental Toxicology (Print)","A2",2008
"0730-7268","GEOCIÊNCIAS                                       ","Environmental Toxicology and Chemistry","A2",2008
"1180-4009","GEOCIÊNCIAS                                       ","EnvironMetrics (London. Ont.)","B1",2008
"0096-3941","GEOCIÊNCIAS                                       ","Eos (Washington, D.C.)","B3",2008
"0705-3797","GEOCIÊNCIAS                                       ","Episodes","A2",2008
"1413-5736","GEOCIÊNCIAS                                       ","Episteme (Porto Alegre)","B5",2008
"1516-9375","GEOCIÊNCIAS                                       ","Espaço e Geografia (UnB)","B5",2008
"1807-8575","GEOCIÊNCIAS                                       ","Espaço Energia","B5",2008
"0102-4701","GEOCIÊNCIAS                                       ","Espeleo-Tema (São Paulo)","B5",2008
"0100-0225","GEOCIÊNCIAS                                       ","Espeleologia (UFOP)","B5",2008
"1678-1317","GEOCIÊNCIAS                                       ","Estaç@o (Londrina)","B5",2008
"0160-8347","GEOCIÊNCIAS                                       ","Estuaries (Cessou em 2005. Cont. ISSN 1559-2723 Estuaries and Coasts)","B1",2008
"1559-2723","GEOCIÊNCIAS                                       ","Estuaries and Coasts","B1",2008
"0272-7714","GEOCIÊNCIAS                                       ","Estuarine, Coastal and Shelf Science (Print)","A2",2008
"1806-9592","GEOCIÊNCIAS                                       ","Estudos Avançados (Online)","B2",2008
"0103-4014","GEOCIÊNCIAS                                       ","Estudos Avançados (USP. Impresso)","B2",2008
"1678-698X","GEOCIÊNCIAS                                       ","Estudos Geográficos (UNESP)","B5",2008
"1980-8208","GEOCIÊNCIAS                                       ","Estudos Geológicos (UFPE)","B4",2008
"0080-0244","GEOCIÊNCIAS                                       ","Estudos Geológicos. Série B, Estudos e Pesquisas (UFPE)","B4",2008
"0425-4082","GEOCIÊNCIAS                                       ","Estudos Universitários (UFPE) (Cessou em 1985)","C ",2008
"1225-6463","GEOCIÊNCIAS                                       ","ETRI Journal","B1",2008
"0935-1221","GEOCIÊNCIAS                                       ","European Journal of Mineralogy","B1",2008
"1351-0754","GEOCIÊNCIAS                                       ","European Journal of Soil Science (Print)","A2",2008
"0295-5075","GEOCIÊNCIAS                                       ","Europhysics Letters (Print)","A2",2008
"1026-0471","GEOCIÊNCIAS                                       ","Exchanges (Hamburg. Print)","B3",2008
"0957-4174","GEOCIÊNCIAS                                       ","Expert Systems with Applications","A2",2008
"0964-1823","GEOCIÊNCIAS                                       ","Exploration and Mining Geology","B3",2008
"1981-5948","GEOCIÊNCIAS                                       ","FACIentífica","B5",2008
"0972-0960","GEOCIÊNCIAS                                       ","Far East Journal of Applied Mathematics","B4",2008
"1519-5023","GEOCIÊNCIAS                                       ","Filosofia Unisinos (Impresso)","B5",2008
"0969-997X","GEOCIÊNCIAS                                       ","Fisheries Management and Ecology (Print)","B1",2008
"1054-6006","GEOCIÊNCIAS                                       ","Fisheries Oceanography (Print)","A1",2008
"0015-3826","GEOCIÊNCIAS                                       ","Floresta (UFPR. Impresso)","B4",2008
"0378-1127","GEOCIÊNCIAS                                       ","Forest Ecology and Management","A2",2008
