"0101-7942","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Communio (Rio de Janeiro)","B3",2008
"0010-3713","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Communio Viatorum","B1",2008
"1519-7204","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Conceitos (João Pessoa)","B5",2008
"0588-9804","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Concilium (Deutsche Ausg.)","B1",2008
"1125-7164","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Concilium (Ed. Italiana)","B1",2008
"0210-1041","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Concilium (Estella)","B1",2008
"0010-8162","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Convergencia (Rio de Janeiro. 1968)","C ",2008
"1677-2644","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Correlatio (Online)","B3",2008
"0120-131X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cuestiones Teologicas","B5",2008
"1414-7076","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cult (São Paulo)","C ",2008
"1679-2556","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cultura e Fé (Porto Alegre)","B3",2008
"1550-4891","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cultural Encounters","B5",2008
"0098-2113","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Currents in Theology and Mission","A2",2008
"1519-843X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Debates do NER (UFRGS. Impresso)","B4",2008
"0012-2033","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Dialog (Print)","B4",2008
"1413-0076","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Diálogo (São Paulo)","C ",2008
"0185-3872","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","DIDAC (México, D.F.)","B4",2008
"0943-2183","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Die Evangelische Diaspora","C ",2008
"1807-3883","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Dois Pontos (UFPR)","B3",2008
"1517-1949","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Eccos Revista Científica (Impresso)","B5",2008
"1518-188X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ecos Revista","C ",2008
"1415-9902","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Educação & Linguagem","B5",2008
"0104-4346","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Educacao & Mudanca (Faculdade de Filosofia Bernardo Sayão)","B4",2008
"0101-465X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Educação (PUCRS. Impresso)","B5",2008
"1807-2194","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Educação e Cultura Contemporânea","B4",2008
"0102-4698","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Educação em Revista (UFMG. Impresso)","B5",2008
"0103-7420","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Em Pauta (UFRGS. Impresso)","B5",2008
"1518-2789","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Encontros do Religare (UFPB)","B4",2008
"1346-5058","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Encontros Lusófonos","C ",2008
"1415-4471","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Encontros Teológicos (Florianópolis)","B5",2008
"0104-7469","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Espaço Pedagógico","B5",2008
"1677-4833","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Espaços (São Paulo)","C ",2008
"0718-5014","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudios Avanzados (En línea)","B4",2008
"0718-4999","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudios Avanzados Interactivos (Cessou em 2006. Cont. ISSN 0718-5022 Estudios Avanzados (Imprensa))","B4",2008
"0103-4014","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudos Avançados (USP. Impresso)","B5",2008
"1676-4951","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudos Bíblicos","B5",2008
"0103-801X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudos de Religiao (IMS)","B2",2008
"0101-3130","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudos Teológicos","B2",2008
"1414-3917","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ética e Filosofia Política","B5",2008
"0014-1941","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Études (1945)","B4",2008
"1517-5863","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Fides Reformata (Impresso)","B5",2008
"1809-9238","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Filosofia (São Paulo)","B5",2008
"1519-5023","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Filosofia Unisinos (Impresso)","B2",2008
"1414-9494","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Fragmentos de Cultura (Goiânia)","B5",2008
"1981-1268","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Gaia Scientia (UFPB)","B5",2008
"1414-7319","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Grande Sinal (Petrópolis)","B5",2008
"0017-4114","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Gregorianum (Roma)","A2",2008
"1678-6475","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Habitus (UCG. Impresso)","B5",2008
"0101-9074","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","História (UNESP. Impresso) (Cessou em 2004)","B2",2008
"1519-3861","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","História Unisinos","B3",2008
"1679-9615","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Horizonte (Belo Horizonte)","B4",2008
"1677-440X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Horizonte Teológico","B5",2008
"0104-7183","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Horizontes Antropológicos (UFRGS. Impresso)","B1",2008
"1413-9138","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Hypnos (PUCSP)","B2",2008
"1980-5837","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ibérica (Juiz de Fora)","B5",2008
"1676-9570","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Identidade!","B5",2008
"0103-779X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Igreja Luterana","B4",2008
"1981-8769","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","IHU On-Line (UNISINOS. Impresso)","B5",2008
