"0044-8249","QUÍMICA                                           ","Angewandte Chemie (Print)","C ",2008
"0377-8401","QUÍMICA                                           ","Animal Feed Science and Technology (Print)","B2",2008
"0003-4088","QUÍMICA                                           ","Annales de Limnologie","B4",2008
"0305-7364","QUÍMICA                                           ","Annals of Botany (Print)","B1",2008
"1476-0711","QUÍMICA                                           ","Annals of Clinical Microbiology and Antimicrobials","C ",2008
"1519-8308","QUÍMICA                                           ","Annals of Magnetic Resonance","C ",2008
"1590-4261","QUÍMICA                                           ","Annals of Microbiology","B4",2008
"0256-4947","QUÍMICA                                           ","Annals of Saudi Medicine","B4",2008
"0077-8923","QUÍMICA                                           ","Annals of the New York Academy of Sciences","B1",2008
"0003-4983","QUÍMICA                                           ","Annals of Tropical Medicine and Parasitology","B2",2008
"0066-3832","QUÍMICA                                           ","Annual Bulletin of Historical Literature","C ",2008
"1531-7331","QUÍMICA                                           ","Annual Review of Materials Research (Print)","A1",2008
"0959-4973","QUÍMICA                                           ","Anti-Cancer Drugs","B1",2008
"0003-5599","QUÍMICA                                           ","Anti-Corrosion Methods and Materials","B4",2008
"1871-5214","QUÍMICA                                           ","Anti-infective Agents in Medicinal Chemistry","C ",2008
"0066-4804","QUÍMICA                                           ","Antimicrobial Agents and Chemotherapy (Print)","A1",2008
"0956-3202","QUÍMICA                                           ","Antiviral Chemistry & Chemotherapy","C ",2008
"0166-3542","QUÍMICA                                           ","Antiviral Research","A2",2008
"0044-8435","QUÍMICA                                           ","Apidologie (Celle)","B2",2008
"0273-2289","QUÍMICA                                           ","Applied Biochemistry and Biotechnology","B2",2008
"0926-860X","QUÍMICA                                           ","Applied Catalysis. A, General (Print)","A2",2008
"0926-3373","QUÍMICA                                           ","Applied Catalysis. B, Environmental (Print)","A1",2008
"0169-1317","QUÍMICA                                           ","Applied Clay Science (Print)","B1",2008
"0937-9347","QUÍMICA                                           ","Applied Magnetic Resonance","B4",2008
"0096-3003","QUÍMICA                                           ","Applied Mathematics and Computation","B3",2008
"0175-7598","QUÍMICA                                           ","Applied Microbiology and Biotechnology","B1",2008
"0003-6935","QUÍMICA                                           ","Applied Optics (Cessou em 1989. Foi desdobrado em três: ISSN 1540-8973 Applied Optics. Information Processing, Applied Optics. Optical Technology e Applied Optics. Lasers and Photonics)","B2",2008
"0268-2605","QUÍMICA                                           ","Applied Organometallic Chemistry","B3",2008
"0003-6951","QUÍMICA                                           ","Applied Physics Letters","A2",2008
"0947-8396","QUÍMICA                                           ","Applied Physics. A, Materials Science & Processing (Print)","B2",2008
"0946-2171","QUÍMICA                                           ","Applied Physics. B, Lasers and Optics (Print)","B1",2008
"0969-8043","QUÍMICA                                           ","Applied Radiation and Isotopes","B3",2008
"0003-7028","QUÍMICA                                           ","Applied Spectroscopy","B1",2008
