"1679-9291","CIÊNCIAS BIOLÓGICAS I                             ","Acta Scientiarum. Health Sciences (Impresso)","B5",2008
"1806-2636","CIÊNCIAS BIOLÓGICAS I                             ","Acta Scientiarum. Zootechny","B5",2008
"0001-7051","CIÊNCIAS BIOLÓGICAS I                             ","Acta Theriologica","B1",2008
"0327-9286","CIÊNCIAS BIOLÓGICAS I                             ","Acta Toxicológica Argentina","B5",2008
"0001-706X","CIÊNCIAS BIOLÓGICAS I                             ","Acta Tropica","A2",2008
"0001-723X","CIÊNCIAS BIOLÓGICAS I                             ","Acta Virologica (English ed.)","B3",2008
"0001-7272","CIÊNCIAS BIOLÓGICAS I                             ","Acta Zoologica (Stockholm)","A2",2008
"1392-1657","CIÊNCIAS BIOLÓGICAS I                             ","Acta Zoologica Lituanica (Spausdinta)","B5",2008
"0065-1737","CIÊNCIAS BIOLÓGICAS I                             ","Acta Zoológica Mexicana","B5",2008
"0304-3584","CIÊNCIAS BIOLÓGICAS I                             ","Actualidades Biologicas","B5",2008
"0001-8082","CIÊNCIAS BIOLÓGICAS I                             ","Addiction (Toronto)","A2",2008
"0169-409X","CIÊNCIAS BIOLÓGICAS I                             ","Advanced Drug Delivery Reviews","A1",2008
"0741-8280","CIÊNCIAS BIOLÓGICAS I                             ","Advances in Economic Botany","B5",2008
"0001-8732","CIÊNCIAS BIOLÓGICAS I                             ","Advances in Physics","A1",2008
"1043-4046","CIÊNCIAS BIOLÓGICAS I                             ","Advances in Physiology Education","B2",2008
"0972-9917","CIÊNCIAS BIOLÓGICAS I                             ","Advances in Plant Physiology","B5",2008
"0273-1177","CIÊNCIAS BIOLÓGICAS I                             ","Advances in Space Research","B3",2008
"1021-3589","CIÊNCIAS BIOLÓGICAS I                             ","African Entomology","B3",2008
"1608-5914","CIÊNCIAS BIOLÓGICAS I                             ","African Journal of Aquatic Science","B5",2008
"1684-5315","CIÊNCIAS BIOLÓGICAS I                             ","African Journal of Biotechnology","B4",2008
"1814-232X","CIÊNCIAS BIOLÓGICAS I                             ","African Journal of Marine Science (Print)","A2",2008
"1677-6550","CIÊNCIAS BIOLÓGICAS I                             ","Ágora (Campo Grande)","B4",2008
"1981-0997","CIÊNCIAS BIOLÓGICAS I                             ","Agrária (Recife. Online)","B5",2008
"1461-9555","CIÊNCIAS BIOLÓGICAS I                             ","Agricultural and Forest Entomology (Print)","A2",2008
"0168-1923","CIÊNCIAS BIOLÓGICAS I                             ","Agricultural and Forest Meteorology (Print)","A2",2008
"1816-9155","CIÊNCIAS BIOLÓGICAS I                             ","Agricultural Journal","B5",2008
"0167-8809","CIÊNCIAS BIOLÓGICAS I                             ","Agriculture, Ecosystems & Environment (Print)","A1",2008
"1405-3195","CIÊNCIAS BIOLÓGICAS I                             ","Agrociencia (Montecillo)","B4",2008
"1510-0839","CIÊNCIAS BIOLÓGICAS I                             ","Agrociencia (Montevideo)","B5",2008
"0167-4366","CIÊNCIAS BIOLÓGICAS I                             ","Agroforestry Systems (Print)","B1",2008
"0365-2718","CIÊNCIAS BIOLÓGICAS I                             ","Agronomia (UFRRJ)","B5",2008
"0103-0779","CIÊNCIAS BIOLÓGICAS I                             ","Agropecuária Catarinense","B5",2008
"0103-3816","CIÊNCIAS BIOLÓGICAS I                             ","Agrotrópica (Itabuna)","B5",2008
"0269-9370","CIÊNCIAS BIOLÓGICAS I                             ","AIDS (London)","A1",2008
"0889-2229","CIÊNCIAS BIOLÓGICAS I                             ","AIDS Research and Human Retroviruses","B1",2008
"0103-4944","CIÊNCIAS BIOLÓGICAS I                             ","Albertoa (Rio de Janeiro)","B5",2008
"0311-5518","CIÊNCIAS BIOLÓGICAS I                             ","Alcheringa (Sydney)","B2",2008
"0741-8329","CIÊNCIAS BIOLÓGICAS I                             ","Alcohol (Fayetteville, N.Y.)","B1",2008
"0145-6008","CIÊNCIAS BIOLÓGICAS I                             ","Alcoholism, Clinical and Experimental Research","A2",2008
"0102-6682","CIÊNCIAS BIOLÓGICAS I                             ","Alimentos & Tecnologia","B5",2008
"0065-6275","CIÊNCIAS BIOLÓGICAS I                             ","Aliso (Rancho Santa Ana Botanic Garden)","B5",2008
"0971-4693","CIÊNCIAS BIOLÓGICAS I                             ","Allelopathy Journal","B4",2008
"0301-0546","CIÊNCIAS BIOLÓGICAS I                             ","Allergologia et Immunopathologia (Ed. impresa)","B5",2008
"1809-4058","CIÊNCIAS BIOLÓGICAS I                             ","Amazônia (Banco da Amazônia. 2005)","B5",2008
"0065-6755","CIÊNCIAS BIOLÓGICAS I                             ","Amazoniana (Kiel)","B4",2008
"1808-0251","CIÊNCIAS BIOLÓGICAS I                             ","Ambiência (UNICENTRO)","B5",2008
"1809-4422","CIÊNCIAS BIOLÓGICAS I                             ","Ambiente & Sociedade (Online)","B5",2008
"1414-753X","CIÊNCIAS BIOLÓGICAS I                             ","Ambiente e Sociedade (Campinas)","B4",2008
"0044-7447","CIÊNCIAS BIOLÓGICAS I                             ","Ambio (Oslo)","A1",2008
"0103-2992","CIÊNCIAS BIOLÓGICAS I                             ","Ambito Hopitalar","B5",2008
"0002-7014","CIÊNCIAS BIOLÓGICAS I                             ","Ameghiniana","B1",2008
"0002-7626","CIÊNCIAS BIOLÓGICAS I                             ","American Bee Journal","B4",2008
"0002-8444","CIÊNCIAS BIOLÓGICAS I                             ","American Fern Journal","B3",2008
"0002-9122","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Botany","A1",2008
"1175-3277","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Cardiovascular Drugs","B5",2008
"0002-9262","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Epidemiology","A1",2008
"0361-8609","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Hematology (Print)","B1",2008
"1042-0533","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Human Biology","B1",2008
"0002-9297","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Human Genetics","A1",2008
"0196-6553","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Infection Control","B1",2008
"0148-7299","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Medical Genetics (Print) (Cessou em 2002. Foi desdobrado em três: ISSN 1552-4825, 1552-4841 e 1552-4868)","B1",2008
"1552-4825","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Medical Genetics. Part A","B1",2008
"1552-4841","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Medical Genetics. Part B, Neuropsychiatric Genetics","A2",2008
"1552-4868","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Medical Genetics. Part C, Seminars in Medical Genetics","A2",2008
